[2017-07-14 13:16:39] Downloading update (4,465 of 6,284 KB)...
[2017-07-14 13:16:39] Downloading update (4,505 of 6,284 KB)...
[2017-07-14 13:16:39] Downloading update (4,549 of 6,284 KB)...
[2017-07-14 13:16:40] Downloading update (4,550 of 6,284 KB)...
[2017-07-14 13:16:40] Downloading update (4,552 of 6,284 KB)...
[2017-07-14 13:16:40] Downloading update (4,553 of 6,284 KB)...
[2017-07-14 13:16:41] Downloading update (4,554 of 6,284 KB)...
[2017-07-14 13:16:41] Downloading update (4,564 of 6,284 KB)...
[2017-07-14 13:16:41] Downloading update (4,591 of 6,284 KB)...
[2017-07-14 13:16:42] Downloading update (4,598 of 6,284 KB)...
[2017-07-14 13:16:42] Downloading update (4,602 of 6,284 KB)...
[2017-07-14 13:16:42] Downloading update (4,628 of 6,284 KB)...
[2017-07-14 13:16:43] Downloading update (4,629 of 6,284 KB)...
[2017-07-14 13:16:44] Downloading update (4,630 of 6,284 KB)...
[2017-07-14 13:16:45] Downloading update (4,632 of 6,284 KB)...
[2017-07-14 13:16:45] Downloading update (4,635 of 6,284 KB)...
[2017-07-14 13:16:46] Downloading update (4,666 of 6,284 KB)...
[2017-07-14 13:16:46] Downloading update (4,668 of 6,284 KB)...
[2017-07-14 13:16:46] Downloading update (4,670 of 6,284 KB)...
[2017-07-14 13:16:47] Downloading update (4,671 of 6,284 KB)...
[2017-07-14 13:16:47] Downloading update (4,685 of 6,284 KB)...
[2017-07-14 13:16:47] Downloading update (4,690 of 6,284 KB)...
[2017-07-14 13:16:48] Downloading update (4,691 of 6,284 KB)...
[2017-07-14 13:16:49] Downloading update (4,692 of 6,284 KB)...
[2017-07-14 13:16:50] Downloading update (4,698 of 6,284 KB)...
[2017-07-14 13:16:50] Downloading update (4,709 of 6,284 KB)...
[2017-07-14 13:16:50] Downloading update (4,719 of 6,284 KB)...
[2017-07-14 13:16:51] Downloading update (4,746 of 6,284 KB)...
[2017-07-14 13:16:51] Downloading update (4,763 of 6,284 KB)...
[2017-07-14 13:16:51] Downloading update (4,781 of 6,284 KB)...
[2017-07-14 13:16:51] Downloading update (4,813 of 6,284 KB)...
[2017-07-14 13:16:52] Downloading update (4,815 of 6,284 KB)...
[2017-07-14 13:16:52] Downloading update (4,869 of 6,284 KB)...
[2017-07-14 13:16:53] Downloading update (4,907 of 6,284 KB)...
[2017-07-14 13:16:53] Downloading update (4,908 of 6,284 KB)...
[2017-07-14 13:16:54] Downloading update (4,910 of 6,284 KB)...
[2017-07-14 13:16:54] Downloading update (4,929 of 6,284 KB)...
[2017-07-14 13:16:54] Downloading update (4,959 of 6,284 KB)...
[2017-07-14 13:16:54] Downloading update (4,961 of 6,284 KB)...
[2017-07-14 13:16:55] Downloading update (4,963 of 6,284 KB)...
[2017-07-14 13:16:56] Downloading update (4,982 of 6,284 KB)...
[2017-07-14 13:16:56] Downloading update (5,026 of 6,284 KB)...
[2017-07-14 13:16:56] Downloading update (5,027 of 6,284 KB)...
[2017-07-14 13:16:57] Downloading update (5,031 of 6,284 KB)...
[2017-07-14 13:16:57] Downloading update (5,032 of 6,284 KB)...
